PlantGroup,IslandCode,SiteCode,PlantGroupRank,PlantType,PlantSubType,Description,Attribute,Value,Unit,StartDate,EndDate,Schedule,Source,Consent,Notes
Mangahao,NI,MHO,1.10,Hydro,Hydro,Mangahao,Generating capacity,30.0000000000,MW,1924-11-01,9999-12-31,,ECNZ,,
Mangahao,NI,MHO,1.10,Hydro,Hydro,Mangahao,Plant factor,0.3952569170,cumecs/MW,1924-11-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.00,Reservoir,Run of river,Lake Matahina,Active storage capacity,6.9000000000,Mm3,1967-07-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.10,Hydro,Hydro,Matahina,Generating capacity,80.0000000000,MW,1967-07-01,9999-12-31,,ECNZ,,
Matahina,NI,MAT,1.10,Hydro,Hydro,Matahina,Plant factor,1.6806722690,cumecs/MW,1967-07-01,9999-12-31,,ECNZ,,
Tongariro,NI,RPO,1.10,Hydro,Hydro,Rangipo,Generating capacity,120.0000000000,MW,0001-01-01,9999-12-31,,Genesis,,"2 x 65MW units howver, hydraulic constrains restrict the station to 120 MW max"
Tongariro,NI,RPO,1.10,Hydro,Hydro,Rangipo,Plant factor,0.5102040820,cumecs/MW,0001-01-01,9999-12-31,,Genesis,,
Tongariro,NI,TKU,1.20,Hydro,Hydro,Tokaanu,Generating capacity,240.0000000000,MW,0001-01-01,9999-12-31,,Genesis,,
Tongariro,NI,TKU,1.20,Hydro,Hydro,Tokaanu,Plant factor,0.5714285710,cumecs/MW,0001-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Active storage capacity,157.1000000000,Mm3,1948-01-01,1998-11-12,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Active storage capacity,157.1000000000,Mm3,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m"
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Consented contingent storage capacity,0E-10,Mm3,1948-01-01,1998-11-12,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WKA,1.00,Reservoir,Run of river,Lake Waikaremoana,Consented contingent storage capacity,0E-10,Mm3,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / 580.29m to 583.29m"
Waikaremoana,NI,WKA,1.01,Hydro arc,Spill,Waikaremoana,Max siphon flow,44.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,,
Waikaremoana,NI,WKA,1.01,Hydro arc,Spill,Waikaremoana,Max spill flow,44.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982001Ta,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,KTW,1.10,Hydro,Hydro,Kaitawa,Generating capacity,36.0000000000,MW,1948-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,KTW,1.10,Hydro,Hydro,Kaitawa,Plant factor,0.9940000000,cumecs/MW,1948-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,KTW,1.11,Hydro arc,Station flow,Kaitawa max flow,Max flow,37.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982010TA,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WKA,1.12,Hydro arc,River,Combined spill siphon and Kaitawa station flow from Lake Waikaremoana,Min flow,55.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / Stage > 584.09 then min outflow > 55 cumecs. Siphon gets used in conjunction with KTW station. KTW PS has a max of 37 cumecs"
Waikaremoana,NI,WKA,1.12,Hydro arc,River,Combined spill siphon and Kaitawa station flow from Lake Waikaremoana,Min flow,51.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / Stage > 583.69 then min outflow > 51 cumecs. Siphon gets used in conjunction with KTW station. KTW PS has a max of 37 cumecs"
Waikaremoana,NI,WKA,1.12,Hydro arc,River,Combined spill siphon and Kaitawa station flow from Lake Waikaremoana,Min flow,47.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / Stage > 583.49 then min outflow > 47 cumecs. Siphon gets used in conjunction with KTW station. KTW PS has a max of 37 cumecs"
Waikaremoana,NI,WKA,1.12,Hydro arc,River,Combined spill siphon and Kaitawa station flow from Lake Waikaremoana,Min flow,43.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982030Mc,"Hawkes Bay Regional Council, 1998 / Stage > 583.29 then min outflow > 43 cumecs. Siphon gets used in conjunction with KTW station. KTW PS has a max of 37 cumecs"
Waikaremoana,NI,KTW,2.00,Reservoir,Run of river,Lake Kaitawa,Active storage capacity,0.1770000000,Mm3,1929-01-01,1998-11-12,,Genesis,WP982121Mb,"Hawkes Bay Regional Council, 1998. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,KTW,2.00,Reservoir,Run of river,Lake Kaitawa,Active storage capacity,0.1770000000,Mm3,1998-11-13,2032-12-31,,Genesis,WP982121Mb,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,KTW,2.00,Reservoir,Run of river,Lake Kaitawa,Consented contingent storage capacity,0E-10,Mm3,1929-01-01,1998-11-12,,Genesis,WP982121Mb,"Hawkes Bay Regional Council, 1998. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,KTW,2.00,Reservoir,Run of river,Lake Kaitawa,Consented contingent storage capacity,0E-10,Mm3,1998-11-13,2032-12-31,,Genesis,WP982121Mb,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WKM,2.01,Hydro arc,Spill,Min flow from Waikaretaheke diversion gates,Min flow,0.0250000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982320Mf,"Hawkes Bay Regional Council, 1998 / The spillway and siphon system are measured in the same place, at the siphons. The 0.025 cumecs bypasses the Piripaua station only"
Waikaremoana,NI,TUI,2.10,Hydro,Hydro,Tuai,Generating capacity,60.0000000000,MW,1929-01-01,9999-12-31,,Genesis,WP982210T,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,TUI,2.10,Hydro,Hydro,Tuai,Plant factor,0.6300000000,cumecs/MW,1929-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,TUI,2.11,Hydro arc,Station flow,Tuai Max flow,Max flow,42.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982003Ta,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WNO,3.00,Reservoir,Run of river,Lake Whakamarino,Active storage capacity,0.3874000000,Mm3,1943-01-01,1998-11-12,,Genesis,WP982420Md,"Hawkes Bay Regional Council, 1998. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WNO,3.00,Reservoir,Run of river,Lake Whakamarino,Active storage capacity,0.3874000000,Mm3,1998-11-13,2032-12-31,,Genesis,WP982420Md,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WNO,3.00,Reservoir,Run of river,Lake Whakamarino,Consented contingent storage capacity,0E-10,Mm3,1943-01-01,1998-11-12,,Genesis,WP982420Md,"Hawkes Bay Regional Council, 1998. These constraints have been retrospectively applied back to plant commissioning as a placeholder."
Waikaremoana,NI,WNO,3.00,Reservoir,Run of river,Lake Whakamarino,Consented contingent storage capacity,0E-10,Mm3,1998-11-13,2032-12-31,,Genesis,WP982420Md,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,PRI,3.10,Hydro,Hydro,Piripaua,Generating capacity,44.0000000000,MW,1943-01-01,9999-12-31,,Genesis,,2018 updated from Genesis
Waikaremoana,NI,PRI,3.10,Hydro,Hydro,Piripaua,Plant factor,1.0620000000,cumecs/MW,1943-01-01,9999-12-31,,Genesis,,
Waikaremoana,NI,PRI,3.11,Hydro arc,Station flow,Piripaua max flow,Max flow,49.0000000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982440T,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WNO,3.12,Hydro arc,River,Min flow from Lake Whakamarino,Min flow,0.0050000000,cumecs,1998-11-13,2032-12-31,,Genesis,WP982420Md,"Hawkes Bay Regional Council, 1998"
Waikaremoana,NI,WKA,99.90,Hydro,Hydro,Waikaremoana (combined),Generating capacity,140.0000000000,MW,1948-01-01,9999-12-31,,Genesis,,Combined record for the Waikaremoana scheme. A sum of indiviual capacities.
Waikaremoana,NI,WKA,99.90,Hydro,Hydro,Waikaremoana (combined),Plant factor,0.2828888410,cumecs/MW,1948-01-01,9999-12-31,,Genesis,,Scheme level plant factor derived from the three station plant factors.
Waikato river,NI,TPO,1.00,Reservoir,Controlled,Lake Taupo,Active storage capacity,763.7500000000,Mm3,1968-11-01,2006-04-11,* * * 1-3 *,MRP,Not a Consent,"Tongariro Offset Works Agreement (TOWA), 1977 / 355.85m to 357.1m / Operating range was lowered for the months of Jan, Feb and March"
Waikato river,NI,TPO,1.00,Reservoir,Controlled,Lake Taupo,Active storage capacity,855.4000000000,Mm3,1968-11-01,2006-04-11,* * * 4-12 *,MRP,Not a Consent,"Tongariro Offset Works Agreement (TOWA), 1977 / 355.85m to 357.25m"
Waikato river,NI,TPO,1.00,Reservoir,Controlled,Lake Taupo,Active storage capacity,855.4000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 357.25m to 355.85"
Waikato river,NI,TPO,1.00,Reservoir,Controlled,Lake Taupo,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,TPO,1.01,Hydro arc,River,Lake Taupo,Min flow,50.0000000000,cumecs,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,ARA,2.00,Reservoir,Run of river,Lake Aratiatia,Active storage capacity,0.7000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 336.40m to 337.80m
Waikato river,NI,ARA,2.00,Reservoir,Run of river,Lake Aratiatia,Active storage capacity,0.9000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 335.99m to 337.82m"
Waikato river,NI,ARA,2.00,Reservoir,Run of river,Lake Aratiatia,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Generating capacity,90.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Generating capacity,90.0000000000,MW,1980-01-02,2003-07-13,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Generating capacity,90.0000000000,MW,2003-07-14,9999-12-31,,Mercury,,
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Plant factor,3.7300000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Plant factor,3.7300000000,cumecs/MW,1980-01-02,2003-07-13,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ARA,2.10,Hydro,Hydro,Aratiatia,Plant factor,3.5200000000,cumecs/MW,2003-07-14,9999-12-31,,Mercury,,
Waikato river,NI,ARA,2.11,Hydro arc,River,Aratiatia,Min flow,50.0000000000,cumecs,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,OHK,3.00,Reservoir,Run of river,Lake Ohakuri,Active storage capacity,11.9000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 286.00m to 287.10m
Waikato river,NI,OHK,3.00,Reservoir,Run of river,Lake Ohakuri,Active storage capacity,27.4000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 285.10m to 287.53m"
Waikato river,NI,OHK,3.00,Reservoir,Run of river,Lake Ohakuri,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Generating capacity,112.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Generating capacity,112.0000000000,MW,1980-01-02,2014-04-07,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Generating capacity,112.0000000000,MW,2014-04-08,9999-12-31,,Mercury,,
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Plant factor,3.5960000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Plant factor,3.5960000000,cumecs/MW,1980-01-02,2014-04-07,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,OHK,3.10,Hydro,Hydro,Ohakuri,Plant factor,3.5200000000,cumecs/MW,2014-04-08,9999-12-31,,Mercury,,
Waikato river,NI,ATI,4.00,Reservoir,Run of river,Lake Atiamuri,Active storage capacity,3.0000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 251.55m to 252.90m
Waikato river,NI,ATI,4.00,Reservoir,Run of river,Lake Atiamuri,Active storage capacity,8.3000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 249.07m to 253.09m"
Waikato river,NI,ATI,4.00,Reservoir,Run of river,Lake Atiamuri,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Generating capacity,84.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Generating capacity,84.0000000000,MW,1980-01-02,2003-07-14,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Generating capacity,84.0000000000,MW,2003-07-15,9999-12-31,,Mercury,,
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Plant factor,4.8920000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Plant factor,4.8920000000,cumecs/MW,1980-01-02,2003-07-14,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ATI,4.10,Hydro,Hydro,Atiamuri,Plant factor,5.1100000000,cumecs/MW,2003-07-15,9999-12-31,,Mercury,,
Waikato river,NI,WKM,5.00,Reservoir,Run of river,Lake Whakamaru,Active storage capacity,11.0000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 224.95m to 226.50m
Waikato river,NI,WKM,5.00,Reservoir,Run of river,Lake Whakamaru,Active storage capacity,17.5000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 224.35m to 226.75m"
Waikato river,NI,WKM,5.00,Reservoir,Run of river,Lake Whakamaru,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Generating capacity,100.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Generating capacity,100.0000000000,MW,1980-01-02,2011-04-13,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Generating capacity,100.0000000000,MW,2011-04-14,9999-12-31,,Mercury,,
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Plant factor,3.1700000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Plant factor,3.1700000000,cumecs/MW,1980-01-02,2011-04-13,,ECNZ,,
Waikato river,NI,WKM,5.10,Hydro,Hydro,Whakamaru,Plant factor,3.1600000000,cumecs/MW,2011-04-14,9999-12-31,,Mercury,,
Waikato river,NI,MTI,6.00,Reservoir,Run of river,Lake Maraetai,Active storage capacity,6.5000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 187.35m to 189.00m
Waikato river,NI,MTI,6.00,Reservoir,Run of river,Lake Maraetai,Active storage capacity,17.2000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 184.98m to 189.47m"
Waikato river,NI,MTI,6.00,Reservoir,Run of river,Lake Maraetai,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Generating capacity,180.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Generating capacity,180.0000000000,MW,1980-01-02,2011-05-10,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Generating capacity,180.0000000000,MW,2011-05-11,9999-12-31,,Mercury,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 2,Generating capacity,180.0000000000,MW,2011-05-13,9999-12-31,,Mercury,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai (combined),Generating capacity,360.0000000000,MW,2011-05-13,9999-12-31,,Mercury,,Derived
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Plant factor,2.0090000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Plant factor,2.0090000000,cumecs/MW,1980-01-02,2011-05-10,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 1,Plant factor,1.9400000000,cumecs/MW,2011-05-11,9999-12-31,,Mercury,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai 2,Plant factor,1.8600000000,cumecs/MW,2011-05-13,9999-12-31,,Mercury,,
Waikato river,NI,MTI,6.10,Hydro,Hydro,Maraetai (combined),Plant factor,1.9000000000,cumecs/MW,2011-05-13,9999-12-31,,Mercury,,Derived from Maraetai 1 and 2 plant factor - simple mean
Waikato river,NI,WPA,7.00,Reservoir,Run of river,Lake Waipapa,Active storage capacity,0.9000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 127.40m to 128.10m
Waikato river,NI,WPA,7.00,Reservoir,Run of river,Lake Waipapa,Active storage capacity,6.0000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 124.27m to 128.89m"
Waikato river,NI,WPA,7.00,Reservoir,Run of river,Lake Waipapa,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Generating capacity,51.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Generating capacity,51.0000000000,MW,1980-01-02,1999-05-18,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Generating capacity,51.0000000000,MW,1999-05-19,9999-12-31,,Mercury,,
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Plant factor,7.0030000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Plant factor,7.0030000000,cumecs/MW,1980-01-02,1999-05-18,,ECNZ,,
Waikato river,NI,WPA,7.10,Hydro,Hydro,Waipapa,Plant factor,7.2200000000,cumecs/MW,1999-05-19,9999-12-31,,Mercury,,
Waikato river,NI,ARI,8.00,Reservoir,Run of river,Lake Arapuni,Active storage capacity,9.6000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 109.95m to 111.00m
Waikato river,NI,ARI,8.00,Reservoir,Run of river,Lake Arapuni,Active storage capacity,31.4000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 109.02m to 112.18m"
Waikato river,NI,ARI,8.00,Reservoir,Run of river,Lake Arapuni,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Generating capacity,175.2000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Generating capacity,175.2000000000,MW,1980-01-02,2011-05-09,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Generating capacity,175.2000000000,MW,2011-05-10,9999-12-31,,Mercury,,
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Plant factor,2.1600000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Plant factor,2.1600000000,cumecs/MW,1980-01-02,2011-05-09,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni G1-4,Plant factor,2.1100000000,cumecs/MW,2011-05-10,9999-12-31,,Mercury,,G1 to G4 (Arapuni North).
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni G5-8,Plant factor,2.2200000000,cumecs/MW,2011-05-10,9999-12-31,,Mercury,,G5 to G8 (Arapuni South).
Waikato river,NI,ARI,8.10,Hydro,Hydro,Arapuni (combined),Plant factor,2.1650000000,cumecs/MW,2011-05-23,9999-12-31,,Mercury,,Derived from North and South end averages
Waikato river,NI,KPO,9.00,Reservoir,Run of river,Lake Karapiro,Active storage capacity,13.0000000000,Mm3,1997-05-01,2006-04-11,,Opus,Not a consent,Orders in Council / 51.00m to 52.90m
Waikato river,NI,KPO,9.00,Reservoir,Run of river,Lake Karapiro,Active storage capacity,19.1000000000,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006 / 50.62m to 53.45m"
Waikato river,NI,KPO,9.00,Reservoir,Run of river,Lake Karapiro,Consented contingent storage capacity,0E-10,Mm3,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006"
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Generating capacity,108.0000000000,MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Generating capacity,108.0000000000,MW,1980-01-02,2013-08-11,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Generating capacity,108.0000000000,MW,2013-08-12,9999-12-31,,Mercury,,
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Plant factor,3.7670000000,cumecs/MW,1975-01-01,1980-01-01,,ECNZ,,
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Plant factor,3.7670000000,cumecs/MW,1980-01-02,2013-08-11,,ECNZ,,Gap in series filled by applying the ECNZ values forward. If you have more information please let us know
Waikato river,NI,KPO,9.10,Hydro,Hydro,Karapiro,Plant factor,3.7900000000,cumecs/MW,2013-08-12,9999-12-31,,Mercury,,
Waikato river,NI,KPO,9.11,Hydro arc,River,Karapiro,Max flow,550.0000000000,cumecs,2006-04-12,2041-04-12,,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006. If the natural inflows are > 550 cumecs then MRP are able to discharge flows equal to the natural inflow."
Waikato river,NI,KPO,9.11,Hydro arc,River,Karapiro,Min flow,148.0000000000,cumecs,2006-04-12,2041-04-12,* * * 1-3 *,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006. January - March."
Waikato river,NI,KPO,9.11,Hydro arc,River,Karapiro,Min flow,140.0000000000,cumecs,2006-04-12,2041-04-12,"* * * 4,12 *",Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006. April, December, 140 or 148 cumecs.  Depending on Huntly power station."
Waikato river,NI,KPO,9.11,Hydro arc,River,Karapiro,Min flow,140.0000000000,cumecs,2006-04-12,2041-04-12,* * * 5-11 *,Mercury,"105226, 105227, 105228","Waikato Regional Council, 2006. May - November."
Clutha,SI,HWE,1.00,Reservoir,Controlled,Lake Hawea,Active contingent storage capacity,0E-10,Mm3,2007-05-25,9999-12-31,,Contact,2001.383,
Clutha,SI,HWE,1.00,Reservoir,Controlled,Lake Hawea,Active storage capacity,2464.0000000000,Mm3,1959-10-01,1985-03-31,,Contact,,Operational lake levels from 327.70m to 346.75m.
Clutha,SI,HWE,1.00,Reservoir,Controlled,Lake Hawea,Active storage capacity,1141.9500000000,Mm3,1985-04-01,2007-05-24,,Contact,,Operational lake levels from 338.00 to 346.00m
Clutha,SI,HWE,1.00,Reservoir,Controlled,Lake Hawea,Active storage capacity,1141.9500000000,Mm3,2007-05-25,2042-05-25,,Contact,2001.383,"Otago Regional Council, 2007 / 338.00m to 346.00m"
Clutha,SI,HWE,1.00,Reservoir,Controlled,Lake Hawea,Available contingent storage capacity,263.8700000000,Mm3,1985-04-01,2007-05-24,,Contact,,Operational lake levels from 336.00m to 338.00m / Additional storage available during times of national shortage.
